arm,member,nfeat,q_mass,auc,support
vanilla,13,10,0.184,0.890625,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,14,10,0.248,0.876875,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""sex"", ""slope=3"", ""thal=3""]"
vanilla,15,10,0.184,0.87375,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""resting_electrocardiographic_results=1"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,16,10,0.186,0.858125,"[""age"", ""chest=2"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,17,10,0.184,0.851875,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3"", ""thal=6""]"
vanilla,18,10,0.202,0.8718750000000001,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3"", ""thal=7""]"
vanilla,19,10,0.184,0.870625,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""resting_electrocardiographic_results=2"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,20,10,0.186,0.87375,"[""age"", ""chest=4"", ""fasting_blood_sugar"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,21,10,0.183,0.8693750000000001,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""slope=3"", ""thal=3"", ""thal=6""]"
vanilla,22,9,0.20444444444444443,0.87375,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,23,10,0.184,0.88875,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,24,10,0.185,0.8925000000000001,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,25,10,0.195,0.83625,"[""age"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
vanilla,26,10,0.184,0.8956250000000001,"[""age"", ""chest=1"", ""chest=4"", ""number_of_major_vessels"", ""oldpeak"", ""resting_electrocardiographic_results=0"", ""serum_cholestoral"", ""slope=3"", ""thal=3""]"
causal,0,10,0.521,0.9143749999999999,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""resting_electrocardiographic_results=0"", ""sex"", ""thal=3""]"
