param,value,seed,model,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
n_samples,300,9,gaussian,mut_7->mut_1;mut_8->mut_2;mut_8->mut_5,0.6444444444444445,0.5654232804232804,0.4222222222222222,0.0,0.0,0.0,0,1,0.0016493055555555556,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,300,9,logistic,mut_0->mut_4;mut_0->mut_8;mut_2->mut_3;mut_2->mut_5;mut_4->mut_5,0.5333333333333333,0.49023809523809525,0.37777777777777777,0.03260869565217391,0.25,0.3076923076923077,2,0.2706040365966953,0.0014756944444444444,0.19047619047619047,0.0,0.4,0.0,0.125,0.0
n_samples,500,0,gaussian,mut_0->Y;mut_0->mut_4;mut_0->mut_6;mut_1->mut_4;mut_2->mut_1;mut_2->mut_3;mut_3->mut_5;mut_6->Y;mut_7->mut_3;mut_7->mut_4;mut_7->mut_5,0.4,0.44737213403880066,0.4,0.03333333333333333,0.4,0.47058823529411764,4,0.4311239909182913,0.0017777777777777779,0.18181818181818185,1.0,0.2222222222222222,1.0,0.15384615384615385,1.0
n_samples,500,0,logistic,mut_0->Y;mut_4->mut_1;mut_5->mut_8;mut_6->Y;mut_7->mut_2;mut_8->mut_1,0.5555555555555556,0.5823809523809523,0.28888888888888886,0.0,0.3,0.46153846153846156,3,0.5275893435844943,0.0012839506172839506,0.23529411764705882,1.0,0.5,1.0,0.15384615384615385,1.0
n_samples,500,1,gaussian,mut_0->mut_5;mut_0->mut_6;mut_0->mut_7,0.8222222222222222,0.7801851851851852,0.4888888888888889,0.03333333333333333,0.0,0.0,0,-0.058621038176054914,0.0013542628501077255,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,500,1,logistic,mut_0->mut_1;mut_0->mut_2;mut_1->mut_4;mut_1->mut_6;mut_5->mut_4;mut_7->mut_8,0.7777777777777778,0.6504497354497354,0.37777777777777777,0.022222222222222223,0.3,0.4,3,0.3823595564509363,0.001046475838719606,0.3478260869565218,0.0,0.6666666666666666,0.0,0.23529411764705882,0.0
n_samples,500,2,gaussian,mut_0->mut_1;mut_3->mut_1;mut_3->mut_2;mut_3->mut_6;mut_3->mut_7,0.6444444444444445,0.5093562610229276,0.3111111111111111,0.020833333333333332,0.25,0.2857142857142857,1,0.263251324826504,0.0025711662075298437,0.13333333333333333,0.0,0.2,0.0,0.1,0.0
n_samples,500,2,logistic,mut_2->mut_5;mut_3->mut_6;mut_7->Y;mut_7->mut_2;mut_7->mut_4;mut_8->mut_0,0.28888888888888886,0.3505202821869489,0.24444444444444444,0.020833333333333332,0.25,0.2857142857142857,1,0.263251324826504,0.00202020202020202,0.4,0.0,0.6,0.0,0.3,0.0
n_samples,500,3,gaussian,mut_1->mut_6;mut_1->mut_7;mut_3->Y;mut_5->mut_0;mut_5->mut_7,0.7111111111111111,0.6612698412698413,0.4666666666666667,0.031578947368421054,0.2,0.2222222222222222,1,0.1873171623163388,0.001440329218106996,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,500,3,logistic,mut_0->mut_6;mut_1->mut_7;mut_3->Y;mut_3->mut_2;mut_6->mut_3;mut_6->mut_7;mut_6->mut_8;mut_7->mut_8,0.6444444444444445,0.40164021164021163,0.4444444444444444,0.042105263157894736,0.4,0.36363636363636365,2,0.32844493170336403,0.0013717421124828531,0.16666666666666666,1.0,0.2857142857142857,1.0,0.11764705882352941,1.0
