param,value,seed,model,sd,sc,shd,fpr,tpr,f1,f1_bin_bin,precision_bin_bin,recall_bin_bin,f1_bin_cont,precision_bin_cont,recall_bin_cont
p_mix,0.0,9,gaussian,0.6,0.5576984126984127,0.35555555555555557,0.021739130434782608,0.125,0.18181818181818182,0.2,0.5,0.125,0.0,0.0,0.0
p_mix,0.0,9,logistic,0.5333333333333333,0.47986772486772483,0.37777777777777777,0.010869565217391304,0.125,0.2,0.19,0.4,0.125,0.0,0.0,0.0
p_mix,0.2,0,gaussian,0.4888888888888889,0.583968253968254,0.35555555555555557,0.022222222222222223,0.2,0.2857142857142857,0.0,0.0,0.0,0.571,0.4,1.0
p_mix,0.2,0,logistic,0.5777777777777777,0.554126984126984,0.26666666666666666,0.011111111111111112,0.3,0.42857142857142855,0.222,0.4,0.154,0.571,0.4,1.0
p_mix,0.2,1,gaussian,0.9111111111111111,0.7382275132275132,0.4666666666666667,0.011111111111111112,0.0,0.0,0.095,0.25,0.059,0.0,0.0,0.0
p_mix,0.2,1,logistic,0.8888888888888888,0.6927248677248676,0.35555555555555557,0.0,0.3,0.46153846153846156,0.364,0.8,0.235,0.0,0.0,0.0
p_mix,0.2,2,gaussian,0.6888888888888889,0.5109435626102292,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.2,2,logistic,0.5333333333333333,0.414647266313933,0.2222222222222222,0.010416666666666666,0.0,0.0,0.308,0.667,0.2,0.0,0.0,0.0
p_mix,0.2,3,gaussian,0.8888888888888888,0.6942328042328042,0.4888888888888889,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.2,3,logistic,0.5333333333333333,0.28089947089947087,0.26666666666666666,0.010526315789473684,0.0,0.0,0.56,0.875,0.412,0.0,0.0,0.0
p_mix,0.2,4,gaussian,0.4888888888888889,0.6373015873015873,0.3111111111111111,0.0,0.25,0.4,0.211,0.4,0.143,0.5,0.4,0.667
p_mix,0.2,4,logistic,0.6666666666666666,0.7679894179894179,0.35555555555555557,0.0,0.08333333333333333,0.15384615384615385,0.0,0.0,0.0,0.5,1.0,0.333
p_mix,0.2,5,gaussian,0.7111111111111111,0.687936507936508,0.37777777777777777,0.011235955056179775,0.36363636363636365,0.5,0.167,0.333,0.111,0.667,0.5,1.0
p_mix,0.2,5,logistic,0.7111111111111111,0.6797883597883598,0.37777777777777777,0.011235955056179775,0.36363636363636365,0.5,0.167,0.333,0.111,0.667,0.5,1.0
p_mix,0.2,6,gaussian,0.6444444444444445,0.48666666666666664,0.3111111111111111,0.0,0.1111111111111111,0.2,0.125,0.333,0.077,0.0,0.0,0.0
p_mix,0.2,6,logistic,0.7333333333333333,0.482962962962963,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.2,7,gaussian,0.6222222222222222,0.5963227513227514,0.4222222222222222,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.2,7,logistic,0.6888888888888889,0.6155820105820107,0.26666666666666666,0.0,0.0,0.0,0.286,1.0,0.167,0.0,0.0,0.0
p_mix,0.2,8,gaussian,0.37777777777777777,0.41518518518518516,0.17777777777777778,0.0,0.14285714285714285,0.25,0.2,1.0,0.111,0.0,0.0,0.0
p_mix,0.2,8,logistic,0.4444444444444444,0.4166666666666667,0.2222222222222222,0.0,0.14285714285714285,0.25,0.167,0.333,0.111,0.0,0.0,0.0
p_mix,0.2,9,gaussian,0.6444444444444445,0.5313492063492063,0.4222222222222222,0.021739130434782608,0.0,0.0,0.095,0.2,0.062,0.0,0.0,0.0
p_mix,0.2,9,logistic,0.5555555555555556,0.5283862433862434,0.4,0.010869565217391304,0.125,0.2,0.1,0.25,0.062,0.0,0.0,0.0
p_mix,0.4,0,gaussian,0.7111111111111111,0.5511111111111111,0.3333333333333333,0.011111111111111112,0.2,0.3076923076923077,0.105,0.167,0.077,0.5,0.333,1.0
p_mix,0.4,0,logistic,0.7333333333333333,0.6320634920634921,0.28888888888888886,0.0,0.3,0.46153846153846156,0.118,0.25,0.077,0.667,0.5,1.0
p_mix,0.4,1,gaussian,0.9111111111111111,0.7738359788359789,0.4666666666666667,0.011111111111111112,0.1,0.16666666666666666,0.0,0.0,0.0,0.333,0.25,0.5
p_mix,0.4,1,logistic,0.7777777777777778,0.6856349206349206,0.35555555555555557,0.0,0.3,0.46153846153846156,0.364,0.8,0.235,0.0,0.0,0.0
p_mix,0.4,2,gaussian,0.4,0.41242504409171077,0.2222222222222222,0.010416666666666666,0.25,0.3333333333333333,0.267,0.4,0.2,0.333,0.2,1.0
p_mix,0.4,2,logistic,0.4,0.39242504409171075,0.2,0.010416666666666666,0.5,0.5714285714285714,0.286,0.5,0.2,0.4,0.25,1.0
p_mix,0.4,3,gaussian,0.7333333333333333,0.7016402116402116,0.4444444444444444,0.021052631578947368,0.2,0.25,0.0,0.0,0.0,0.4,0.25,1.0
p_mix,0.4,3,logistic,0.4444444444444444,0.31460317460317466,0.3111111111111111,0.021052631578947368,0.2,0.25,0.4,0.625,0.294,0.222,0.125,1.0
p_mix,0.4,4,gaussian,0.5333333333333333,0.6902116402116402,0.3111111111111111,0.0,0.25,0.4,0.0,0.0,0.0,1.0,1.0,1.0
p_mix,0.4,4,logistic,0.4444444444444444,0.47761904761904767,0.26666666666666666,0.011363636363636364,0.5,0.631578947368421,0.348,0.444,0.286,0.5,0.333,1.0
p_mix,0.4,5,gaussian,0.9333333333333333,0.8260846560846561,0.4666666666666667,0.011235955056179775,0.09090909090909091,0.15384615384615385,0.0,0.0,0.0,0.4,0.5,0.333
p_mix,0.4,5,logistic,0.8888888888888888,0.8038624338624338,0.4888888888888889,0.0,0.09090909090909091,0.16666666666666666,0.0,0.0,0.0,0.333,0.333,0.333
p_mix,0.4,6,gaussian,0.6222222222222222,0.49925925925925935,0.37777777777777777,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.4,6,logistic,0.6888888888888889,0.482962962962963,0.3111111111111111,0.0,0.1111111111111111,0.2,0.125,0.333,0.077,0.0,0.0,0.0
p_mix,0.4,7,gaussian,0.8222222222222222,0.6537830687830688,0.3333333333333333,0.010638297872340425,0.16666666666666666,0.25,0.0,0.0,0.0,0.4,0.333,0.5
p_mix,0.4,7,logistic,0.5777777777777777,0.47775132275132276,0.28888888888888886,0.0,0.3333333333333333,0.5,0.316,0.429,0.25,0.222,0.143,0.5
p_mix,0.4,8,gaussian,0.5333333333333333,0.4307407407407407,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.4,8,logistic,0.5111111111111111,0.34481481481481485,0.24444444444444444,0.0,0.14285714285714285,0.25,0.154,0.25,0.111,0.0,0.0,0.0
p_mix,0.4,9,gaussian,0.6666666666666666,0.4969047619047619,0.37777777777777777,0.021739130434782608,0.125,0.18181818181818182,0.19,0.4,0.125,0.0,0.0,0.0
p_mix,0.4,9,logistic,0.5111111111111111,0.3721428571428571,0.3333333333333333,0.03260869565217391,0.25,0.3076923076923077,0.4,0.556,0.312,0.0,0.0,0.0
p_mix,0.6,0,gaussian,0.5333333333333333,0.5603703703703703,0.24444444444444444,0.011111111111111112,0.4,0.5333333333333333,0.316,0.5,0.231,0.5,0.333,1.0
p_mix,0.6,0,logistic,0.5777777777777777,0.5376190476190477,0.26666666666666666,0.011111111111111112,0.3,0.42857142857142855,0.222,0.4,0.154,0.571,0.4,1.0
p_mix,0.6,1,gaussian,0.8888888888888888,0.8482804232804233,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.6,1,logistic,0.9333333333333333,0.7705026455026455,0.4444444444444444,0.011111111111111112,0.0,0.0,0.1,0.333,0.059,0.0,0.0,0.0
p_mix,0.6,2,gaussian,0.4,0.44723985890652557,0.26666666666666666,0.020833333333333332,0.25,0.2857142857142857,0.133,0.2,0.1,0.333,0.2,1.0
p_mix,0.6,2,logistic,0.4222222222222222,0.4161287477954145,0.24444444444444444,0.010416666666666666,0.25,0.3333333333333333,0.143,0.25,0.1,0.4,0.25,1.0
p_mix,0.6,3,gaussian,0.7555555555555555,0.7031216931216931,0.37777777777777777,0.0,0.2,0.3333333333333333,0.1,0.333,0.059,0.5,0.333,1.0
p_mix,0.6,3,logistic,0.7777777777777778,0.6920105820105821,0.35555555555555557,0.0,0.4,0.5714285714285714,0.105,0.5,0.059,0.667,0.5,1.0
p_mix,0.6,4,gaussian,0.4444444444444444,0.49084656084656086,0.4,0.03409090909090909,0.3333333333333333,0.42105263157894735,0.16,0.182,0.143,0.429,0.273,1.0
p_mix,0.6,4,logistic,0.37777777777777777,0.4786772486772487,0.4,0.045454545454545456,0.4166666666666667,0.47619047619047616,0.16,0.182,0.143,0.429,0.273,1.0
p_mix,0.6,5,gaussian,0.8444444444444444,0.7705291005291007,0.37777777777777777,0.0,0.2727272727272727,0.42857142857142855,0.273,0.75,0.167,0.286,0.25,0.333
p_mix,0.6,5,logistic,0.7333333333333333,0.536084656084656,0.3111111111111111,0.011235955056179775,0.2727272727272727,0.4,0.519,0.778,0.389,0.167,0.111,0.333
p_mix,0.6,6,gaussian,0.7555555555555555,0.5125925925925926,0.3333333333333333,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.6,6,logistic,0.6222222222222222,0.4422222222222222,0.3333333333333333,0.03296703296703297,0.1111111111111111,0.15384615384615385,0.211,0.333,0.154,0.0,0.0,0.0
p_mix,0.6,7,gaussian,0.6222222222222222,0.5896560846560848,0.35555555555555557,0.031914893617021274,0.0,0.0,0.125,0.25,0.083,0.0,0.0,0.0
p_mix,0.6,7,logistic,0.4888888888888889,0.5726190476190477,0.3111111111111111,0.010638297872340425,0.0,0.0,0.25,0.5,0.167,0.0,0.0,0.0
p_mix,0.6,8,gaussian,0.3111111111111111,0.3437037037037037,0.24444444444444444,0.03225806451612903,0.2857142857142857,0.3333333333333333,0.267,0.333,0.222,0.0,0.0,0.0
p_mix,0.6,8,logistic,0.3111111111111111,0.3425925925925926,0.17777777777777778,0.010752688172043012,0.42857142857142855,0.5454545454545454,0.429,0.6,0.333,0.0,0.0,0.0
p_mix,0.6,9,gaussian,0.5777777777777777,0.5270105820105822,0.4444444444444444,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.6,9,logistic,0.4444444444444444,0.25732804232804235,0.3111111111111111,0.03260869565217391,0.25,0.3076923076923077,0.462,0.6,0.375,0.0,0.0,0.0
p_mix,0.8,0,gaussian,0.5777777777777777,0.633915343915344,0.3111111111111111,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.8,0.667,1.0
p_mix,0.8,0,logistic,0.4888888888888889,0.5746560846560845,0.28888888888888886,0.011111111111111112,0.4,0.5333333333333333,0.211,0.333,0.154,0.5,0.333,1.0
p_mix,0.8,1,gaussian,0.8,0.6906084656084656,0.4666666666666667,0.011111111111111112,0.1,0.16666666666666666,0.174,0.333,0.118,0.0,0.0,0.0
p_mix,0.8,1,logistic,0.7333333333333333,0.5445767195767197,0.3333333333333333,0.011111111111111112,0.5,0.625,0.48,0.75,0.353,0.0,0.0,0.0
p_mix,0.8,2,gaussian,0.4888888888888889,0.4749118165784833,0.26666666666666666,0.0,0.25,0.4,0.0,0.0,0.0,0.5,0.333,1.0
p_mix,0.8,2,logistic,0.4,0.4445414462081129,0.3111111111111111,0.010416666666666666,0.25,0.3333333333333333,0.211,0.222,0.2,0.2,0.111,1.0
p_mix,0.8,3,gaussian,0.8888888888888888,0.7031216931216931,0.4666666666666667,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_mix,0.8,3,logistic,0.5555555555555556,0.3357142857142857,0.37777777777777777,0.021052631578947368,0.0,0.0,0.385,0.556,0.294,0.0,0.0,0.0
p_mix,0.8,4,gaussian,0.6222222222222222,0.678395061728395,0.37777777777777777,0.0,0.16666666666666666,0.2857142857142857,0.2,0.333,0.143,0.222,0.167,0.333
p_mix,0.8,4,logistic,0.4666666666666667,0.5224867724867724,0.3111111111111111,0.011363636363636364,0.4166666666666667,0.5555555555555556,0.261,0.333,0.214,0.5,0.333,1.0
