split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
5,10,causal,0.01,0.8725,-7.0,4.631871291216689,0.7711479221156641,0.19463280403868038,0.024167275447687358,10
6,2,vanilla,0.0,0.0,-6.0,3.620320085455927,0.7186939012745464,0.20933614756989105,0.025375653366928198,2
6,2,causal,1.5199110829529332,132.61224198764342,-4.0,4.252887690213523,0.724676381450575,0.20577424259670563,0.007682093816202228,2
6,4,vanilla,0.0,0.0,-8.0,3.2534134940383814,0.7491929256445387,0.20198456158505995,0.02366733756638966,4
6,4,causal,0.43287612810830567,37.76844217744967,-8.0,3.2534136837438243,0.7491929256445387,0.20198456123781802,0.023667333630283865,4
6,6,vanilla,0.0,0.0,-6.0,3.2754048596076233,0.7559721011333914,0.2005357435901435,0.029116417867319194,6
6,6,causal,0.8111308307896868,70.77116498640018,-8.0,3.9751833505466445,0.7521048698468054,0.2017853014157572,0.030140264304743803,6
6,8,vanilla,0.0,0.0,-9.0,4.429678325909991,0.7684908872005646,0.19593863158829153,0.027172221955995987,8
6,8,causal,0.12328467394420659,10.756587801632024,-9.0,5.0053132787681545,0.7657284012122723,0.19670764555946424,0.02627122257658248,8
6,10,vanilla,0.0,0.0,-8.0,4.753391433863336,0.7659488520778843,0.19724402874750202,0.030032601392517105,10
6,10,causal,0.0,0.0,-8.0,4.753391433863336,0.7659488520778843,0.19724402874750202,0.030032601392517105,10
7,2,vanilla,0.0,0.0,-5.0,3.425869508059572,0.7154278241375016,0.20969603265335351,0.025359827926239725,2
7,2,causal,0.8111308307896868,70.16281686330791,-5.0,3.425869508059572,0.7154278241375016,0.20969603265335351,0.025359827926239725,2
7,4,vanilla,0.0,0.0,-7.0,2.9720208759069635,0.7473637231701749,0.20313274900216444,0.034789904863454194,4
7,4,causal,0.0,0.0,-7.0,2.9720208759069635,0.7473637231701749,0.20313274900216444,0.034789904863454194,4
7,6,vanilla,0.0,0.0,-8.0,4.113178423610353,0.7585930169801136,0.19984492156130387,0.03705526962510156,6
7,6,causal,0.03511191734215131,3.037180850096088,-8.0,4.113178423610353,0.7585930169801136,0.19984492156130387,0.03705526962510156,6
