split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
1,8,9,8.111308307896872,0.7413355220908062,0.5964301279621458,0.555952380952381
1,8,10,18.73817422860385,0.7418514095126657,0.5962471797819818,0.5642857142857143
1,8,11,43.287612810830616,0.7418514095126657,0.5962471797819818,0.5642857142857143
1,8,12,100.0,0.7345693141059847,0.6018089588632393,0.5936507936507935
1,10,0,0.0,0.7858431145218772,0.5574836048554443,0.5677655677655677
1,10,1,0.01,0.7858431145218772,0.5574836044511428,0.5677655677655677
1,10,2,0.023101297000831605,0.7855583938920521,0.5576066616708515,0.5824175824175823
1,10,3,0.053366992312063107,0.7837151265000382,0.55940247206804,0.5915750915750915
1,10,4,0.12328467394420659,0.7823511362751547,0.5615182286104076,0.7093240093240093
1,10,5,0.2848035868435802,0.778438872304146,0.5656910336140044,0.7090909090909092
1,10,6,0.6579332246575682,0.7759510494106285,0.5671784400549762,0.615034965034965
1,10,7,1.5199110829529332,0.7691667598888763,0.5752293203323525,0.6714646464646464
1,10,8,3.511191734215131,0.7667384377672102,0.5765083940602427,0.8799999999999999
1,10,9,8.111308307896872,0.7667384377672102,0.5765083940602123,0.8799999999999999
1,10,10,18.73817422860385,0.7591134753596912,0.5836166023859385,0.674090909090909
1,10,11,43.287612810830616,0.7591134753596912,0.5836166023859392,0.674090909090909
1,10,12,100.0,0.7535192419927121,0.5897750004265268,0.74
2,2,0,0.0,0.7282012713937828,0.5991371599317235,0.4
2,2,1,0.01,0.7282012713937828,0.5991371599317235,0.4
2,2,2,0.023101297000831605,0.7282012713937828,0.5991371599317235,0.4
2,2,3,0.0533669923120631,0.7282012713937828,0.5991371599317203,0.4
2,2,4,0.1232846739442066,0.7282012713937828,0.5991371599317193,0.4
2,2,5,0.2848035868435802,0.7282012713937828,0.5991371599317193,0.4
2,2,6,0.6579332246575682,0.7282012713937828,0.5991371599317193,0.4
2,2,7,1.5199110829529334,0.7282012713937828,0.5991371599119808,0.4
2,2,8,3.511191734215131,0.7301436707834451,0.5962560308915812,0.7333333333333333
2,2,9,8.111308307896872,0.7111260528573501,0.6066054314529034,0.5999999999999999
2,2,10,18.73817422860385,0.7111260528573501,0.6066054314529034,0.5999999999999999
2,2,11,43.287612810830616,0.7111260528573501,0.6066054314529034,0.5999999999999999
2,2,12,100.0,0.7111260528573501,0.6066054314529034,0.5999999999999999
2,4,0,0.0,0.7586818965326338,0.5813550286667468,0.35238095238095235
2,4,1,0.01,0.7586818965326338,0.5813550286667468,0.35238095238095235
2,4,2,0.023101297000831605,0.7586818965326338,0.5813550286667468,0.35238095238095235
2,4,3,0.0533669923120631,0.7586818965326338,0.5813550286667466,0.35238095238095235
2,4,4,0.1232846739442066,0.7586818965326338,0.581355045823209,0.35238095238095235
2,4,5,0.2848035868435802,0.7586818965326338,0.5813550457348193,0.35238095238095235
2,4,6,0.6579332246575682,0.7578220913063325,0.5825661542824692,0.5599999999999999
2,4,7,1.5199110829529334,0.7434932176377849,0.5932151412079023,0.5599999999999998
2,4,8,3.511191734215131,0.735922137667416,0.5964773077982783,0.4633333333333334
2,4,9,8.111308307896872,0.7175488816549407,0.6041290959438069,0.9
