split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
4,8,causal,0.053366992312063107,4.669611827305522,-11.0,5.06194242195987,0.7718715489683232,0.19380237111334983,0.01580321854388087,8
4,10,vanilla,0.0,0.0,-12.0,5.255727462135579,0.7734927554282393,0.19357948196770933,0.027199355104179604,10
4,10,causal,0.01,0.875,-12.0,5.561073054857783,0.7743376094988998,0.1931637480228292,0.023689597702063366,10
5,2,vanilla,0.0,0.0,-4.0,4.145579409838151,0.7217461701332668,0.20713219515418824,0.015360213237138638,2
5,2,causal,1.5199110829529332,132.61224198764342,-4.0,4.145579415832747,0.7217461701332668,0.20713219514736653,0.015360213198558782,2
5,4,vanilla,0.0,0.0,-9.0,3.579428721866638,0.7533540914186075,0.2000601039669403,0.028207665320412252,4
5,4,causal,0.0,0.0,-9.0,3.579428721866638,0.7533540914186075,0.2000601039669403,0.028207665320412252,4
5,6,vanilla,0.0,0.0,-11.0,4.930562966739432,0.7661298625814755,0.19549458495216757,0.025039260671324358,6
5,6,causal,0.2848035868435802,24.849112952102374,-11.0,4.930556678235726,0.7661298625814755,0.19549459131770666,0.025039335304790127,6
5,8,vanilla,0.0,0.0,-11.0,6.002114146388561,0.7684369161788517,0.19497114181920855,0.02404788897904006,8
5,8,causal,0.12328467394420659,10.756587801632024,-9.0,4.686573642076651,0.7689405073276041,0.19547804438573957,0.024426912607735198,8
5,10,vanilla,0.0,0.0,-7.0,4.631871291216705,0.7711479221156641,0.19463280403868036,0.02416727544768688,10
5,10,causal,0.0,0.0,-7.0,4.631871291216705,0.7711479221156641,0.19463280403868036,0.02416727544768688,10
6,2,vanilla,0.0,0.0,-6.0,3.6203200854559334,0.7186939012745464,0.20933614756989102,0.025375653366927913,2
6,2,causal,3.511191734215131,306.3514788102702,-4.0,4.252887690213522,0.724676381450575,0.2057742425967056,0.007682093816202185,2
6,4,vanilla,0.0,0.0,-8.0,3.253413494038385,0.7491929256445387,0.20198456158505995,0.02366733756638962,4
6,4,causal,0.0533669923120631,4.656270079227506,-8.0,3.253413494038385,0.7491929256445387,0.20198456158505995,0.02366733756638962,4
6,6,vanilla,0.0,0.0,-6.0,3.275404859607624,0.7559721011333914,0.20053574359014348,0.02911641786731912,6
6,6,causal,0.0533669923120631,4.656270079227506,-10.0,4.086113190215066,0.7653323369452402,0.19685189682344192,0.021751439163330104,6
6,8,vanilla,0.0,0.0,-9.0,4.4296783259100145,0.7684908872005646,0.19593863158829147,0.027172221955995245,8
6,8,causal,0.0,0.0,-9.0,4.4296783259100145,0.7684908872005646,0.19593863158829147,0.027172221955995245,8
6,10,vanilla,0.0,0.0,-8.0,4.753391433863359,0.7659488520778843,0.19724402874750194,0.0300326013925165,10
6,10,causal,0.0,0.0,-8.0,4.753391433863359,0.7659488520778843,0.19724402874750194,0.0300326013925165,10
7,2,vanilla,0.0,0.0,-5.0,3.425869508059567,0.7154278241375016,0.2096960326533535,0.02535982792623997,2
7,2,causal,0.0,0.0,-5.0,3.425869508059567,0.7154278241375016,0.2096960326533535,0.02535982792623997,2
7,4,vanilla,0.0,0.0,-7.0,2.9720208759069626,0.7473637231701749,0.20313274900216444,0.03478990486345428,4
7,4,causal,0.0,0.0,-7.0,2.9720208759069626,0.7473637231701749,0.20313274900216444,0.03478990486345428,4
7,6,vanilla,0.0,0.0,-8.0,4.113178423610355,0.7585930169801136,0.19984492156130385,0.03705526962510145,6
7,6,causal,0.0,0.0,-8.0,4.113178423610355,0.7585930169801136,0.19984492156130385,0.03705526962510145,6
7,8,vanilla,0.0,0.0,-10.0,5.18948807366975,0.7629260597002532,0.197725056916328,0.02751875509107034,8
7,8,causal,0.0,0.0,-10.0,5.18948807366975,0.7629260597002532,0.197725056916328,0.02751875509107034,8
7,10,vanilla,0.0,0.0,-10.0,5.955074217419541,0.7701266243201728,0.1952538754107328,0.029950775709321118,10
7,10,causal,0.0,0.0,-10.0,5.955074217419541,0.7701266243201728,0.1952538754107328,0.029950775709321118,10
8,2,vanilla,0.0,0.0,-2.0,1.9183290271933382,0.7301648191970772,0.20351120120471328,0.010107038092226137,2
8,2,causal,1.5199110829529332,126.15261988509346,-2.0,1.918329030602037,0.7301648191970772,0.2035112011981802,0.010107037783147785,2
8,4,vanilla,0.0,0.0,-5.0,2.899421844222089,0.7634898492963009,0.195770275332396,0.011457798222529653,4
8,4,causal,0.12328467394420659,10.232627937369147,-9.0,3.7939909006968753,0.7663374434342176,0.19475120613759214,0.01968495535247824,4
8,6,vanilla,0.0,0.0,-5.0,3.417299041512881,0.770029061319384,0.19371743107373324,0.023486369562362098,6
8,6,causal,0.2848035868435802,23.63869770801716,-11.0,4.910696254545672,0.7756420475775314,0.1911609139515883,0.020350490505645462,6
8,8,vanilla,0.0,0.0,-6.0,4.414189171572369,0.7782741727903018,0.19067676271057954,0.03576236025924533,8
8,8,causal,0.0,0.0,-6.0,4.414189171572369,0.7782741727903018,0.19067676271057954,0.03576236025924533,8
8,10,vanilla,0.0,0.0,-6.0,4.108869973821893,0.7802711005936813,0.18996171843124135,0.025373667004284447,10
8,10,causal,0.0,0.0,-6.0,4.108869973821893,0.7802711005936813,0.18996171843124135,0.025373667004284447,10
9,2,vanilla,0.0,0.0,-2.0,1.8917654108823239,0.7263909992942251,0.20549280772292886,0.018714812835080193,2
9,2,causal,3.5111917342151306,325.6630333484534,-2.0,1.8917654148124479,0.7263909992942251,0.2054928077088217,0.018714812469477093,2
9,4,vanilla,0.0,0.0,-9.0,3.6830480365986604,0.7589376011956657,0.19843388350001095,0.03482070846784164,4
9,4,causal,0.2848035868435802,26.415532679742064,-9.0,3.68304798840388,0.7589376011956657,0.1984338835910121,0.03482070972243906,4
9,6,vanilla,0.0,0.0,-9.0,3.707843642714784,0.769776227840744,0.19457140137250462,0.01892912104875362,6
9,6,causal,0.2848035868435802,26.415532679742064,-6.0,2.848754371055276,0.7640615269647528,0.19700075183836277,0.022475001361727656,6
9,8,vanilla,0.0,0.0,-6.0,4.65445760009511,0.7737883505625441,0.1928550847478733,0.027238922091443914,8
9,8,causal,0.12328467394420659,11.43465350832516,-7.0,4.388930852211999,0.7719703574542284,0.19379407701821008,0.024197103706956942,8
9,10,vanilla,0.0,0.0,-6.0,4.410262995032139,0.7786669157636898,0.19123763806650226,0.02629770739330383,10
9,10,causal,0.0533669923120631,4.949788536943853,-10.0,5.290192083501128,0.7778004732843443,0.1914288727934234,0.02167460724319745,10
