rep,arm,k,auc,n,p
7,cfs_hiton_mb,2,0.7251322751322751,700,61
7,cfs_cg,2,0.6945502645502646,700,61
7,vanilla,4,0.7494708994708994,700,61
7,causal,4,0.745925925925926,700,61
7,iamb_soft_cg,4,0.7494708994708994,700,61
7,iamb_soft_fz,4,0.7494708994708994,700,61
7,cfs_iamb,4,0.7175132275132275,700,61
7,cfs_hiton_mb,4,0.7175132275132275,700,61
7,cfs_cg,4,0.7161111111111111,700,61
7,vanilla,6,0.7544973544973544,700,61
7,causal,6,0.7493650793650795,700,61
7,iamb_soft_cg,6,0.749100529100529,700,61
7,iamb_soft_fz,6,0.7426984126984126,700,61
7,cfs_iamb,6,0.7292592592592592,700,61
7,cfs_hiton_mb,6,0.7248148148148149,700,61
7,cfs_cg,6,0.7161111111111111,700,61
7,vanilla,8,0.7422486772486772,700,61
7,causal,8,0.7567195767195767,700,61
7,iamb_soft_cg,8,0.7236772486772488,700,61
7,iamb_soft_fz,8,0.7537566137566137,700,61
7,cfs_iamb,8,0.7179365079365079,700,61
7,cfs_hiton_mb,8,0.7286243386243385,700,61
7,cfs_cg,8,0.7161111111111111,700,61
7,vanilla,10,0.7551587301587303,700,61
7,causal,10,0.7554761904761904,700,61
7,iamb_soft_cg,10,0.7461640211640211,700,61
7,iamb_soft_fz,10,0.7488624338624339,700,61
7,cfs_iamb,10,0.7439417989417989,700,61
7,cfs_hiton_mb,10,0.7406349206349206,700,61
7,cfs_cg,10,0.7161111111111111,700,61
8,vanilla,2,0.6839153439153439,700,61
8,causal,2,0.6839153439153439,700,61
8,iamb_soft_cg,2,0.6839153439153439,700,61
8,iamb_soft_fz,2,0.6839153439153439,700,61
8,cfs_iamb,2,0.6812962962962963,700,61
8,cfs_hiton_mb,2,0.6812962962962963,700,61
8,cfs_cg,2,0.6812962962962963,700,61
8,vanilla,4,0.6994708994708996,700,61
8,causal,4,0.6994708994708996,700,61
8,iamb_soft_cg,4,0.6994708994708996,700,61
8,iamb_soft_fz,4,0.691957671957672,700,61
8,cfs_iamb,4,0.6825661375661376,700,61
8,cfs_hiton_mb,4,0.6825661375661376,700,61
8,cfs_cg,4,0.6806878306878308,700,61
8,vanilla,6,0.7113492063492064,700,61
8,causal,6,0.705,700,61
8,iamb_soft_cg,6,0.7216137566137565,700,61
8,iamb_soft_fz,6,0.7082539682539682,700,61
8,cfs_iamb,6,0.7056349206349205,700,61
8,cfs_hiton_mb,6,0.7056349206349205,700,61
8,cfs_cg,6,0.6806878306878308,700,61
8,vanilla,8,0.716031746031746,700,61
8,causal,8,0.7157936507936509,700,61
8,iamb_soft_cg,8,0.7151851851851853,700,61
8,iamb_soft_fz,8,0.7145238095238096,700,61
8,cfs_iamb,8,0.6956084656084656,700,61
8,cfs_hiton_mb,8,0.6941005291005291,700,61
8,cfs_cg,8,0.6806878306878308,700,61
8,vanilla,10,0.7097089947089947,700,61
8,causal,10,0.7096031746031746,700,61
8,iamb_soft_cg,10,0.7115079365079364,700,61
8,iamb_soft_fz,10,0.7115873015873017,700,61
8,cfs_iamb,10,0.7141798941798942,700,61
8,cfs_hiton_mb,10,0.7141798941798942,700,61
8,cfs_cg,10,0.6806878306878308,700,61
9,vanilla,2,0.7316137566137566,700,61
9,causal,2,0.7316137566137566,700,61
9,iamb_soft_cg,2,0.7316137566137566,700,61
9,iamb_soft_fz,2,0.7316137566137566,700,61
9,cfs_iamb,2,0.7001058201058201,700,61
9,cfs_hiton_mb,2,0.7001058201058201,700,61
9,cfs_cg,2,0.643068783068783,700,61
9,vanilla,4,0.749973544973545,700,61
9,causal,4,0.749973544973545,700,61
9,iamb_soft_cg,4,0.749973544973545,700,61
9,iamb_soft_fz,4,0.7327513227513228,700,61
9,cfs_iamb,4,0.7246296296296296,700,61
9,cfs_hiton_mb,4,0.7246296296296296,700,61
9,cfs_cg,4,0.679973544973545,700,61
9,vanilla,6,0.7366137566137566,700,61
9,causal,6,0.7335185185185185,700,61
9,iamb_soft_cg,6,0.7546031746031747,700,61
9,iamb_soft_fz,6,0.7515873015873016,700,61
9,cfs_iamb,6,0.7287830687830688,700,61
9,cfs_hiton_mb,6,0.7342592592592592,700,61
9,cfs_cg,6,0.679973544973545,700,61
9,vanilla,8,0.7466137566137566,700,61
9,causal,8,0.7414021164021164,700,61
9,iamb_soft_cg,8,0.756031746031746,700,61
9,iamb_soft_fz,8,0.7406878306878307,700,61
9,cfs_iamb,8,0.7287830687830686,700,61
9,cfs_hiton_mb,8,0.7448148148148149,700,61
9,cfs_cg,8,0.679973544973545,700,61
9,vanilla,10,0.7612698412698412,700,61
9,causal,10,0.7537566137566138,700,61
9,iamb_soft_cg,10,0.7663227513227514,700,61
9,iamb_soft_fz,10,0.7558465608465609,700,61
9,cfs_iamb,10,0.7176984126984126,700,61
9,cfs_hiton_mb,10,0.7698677248677248,700,61
9,cfs_cg,10,0.679973544973545,700,61
10,vanilla,2,0.6714814814814816,700,61
10,causal,2,0.6714814814814816,700,61
10,iamb_soft_cg,2,0.7458201058201058,700,61
10,iamb_soft_fz,2,0.7458201058201058,700,61
10,cfs_iamb,2,0.6738095238095239,700,61
10,cfs_hiton_mb,2,0.6738095238095239,700,61
